Company Name,AI Check,Signed Check,Deals Check,Zip Code,Phone,Website,Source,Address
A&A Bake Doubles and Roti,Doubles,No,No,11216.0,(347) 425-0016,Not Available,Eater,"1337 Fulton St, Brooklyn, NY 11216, USA"
A1 Seafood Restaurant,A1,No,No,10002.0,(646) 370-6644,http://www.a1seafoodrestaurant.com/,Eater,"250 Grand St, New York, NY 10002, USA"
Abraço,Abraço,No,No,10003.0,(212) 388-9731,http://abraconyc.com/,Eater,"81 E 7th St, New York, NY 10003, USA"
Agnanti,Agnanti,No,No,11105.0,(718) 545-4554,http://www.agnantimeze.com/,Eater,"19-06 Ditmars Blvd, Queens, NY 11105, USA"
Al Di La Trattoria,Trattoria,No,No,11215.0,(718) 783-4565,http://www.aldilatrattoria.com/,Eater,"248 5th Ave, Brooklyn, NY 11215, USA"
Aldama,Aldama,No,No,11249.0,(929) 298-0233,https://aldamarestaurantbk.com/,Eater,"91 S 6th St, Brooklyn, NY 11249, USA"
Ankara #3,#3,No,No,10002.0,(212) 473-1212,https://ankaraturkishrestaurant.com/,Eater,"183 E Houston St, New York, NY 10002, USA"
Aquavit,Aquavit,No,No,10022.0,(212) 307-7311,http://www.aquavit.org/,Eater,"65 E 55th St, New York, NY 10022, USA"
Atomix,Atomix,No,No,10016.0,(646) 476-7217,http://www.atomixnyc.com,Eater,"104 E 30th St, New York, NY 10016, USA"
Aunt Jake's,Jake's,No,No,10013.0,(646) 858-0470,http://auntjakesnyc.com/,Eater,"133 Mulberry St, New York, NY 10013, USA"
Aunts et Uncles,Aunts,No,No,11226.0,(347) 295-0001,http://www.auntsetuncles.com/,Eater,"1407 Nostrand Ave, Brooklyn, NY 11226, USA"
Awang Kitchen,Awang,No,No,11373.0,(347) 492-9264,https://awangkitchen.com/,Eater,"8405 Queens Blvd Ste 1C, Queens, NY 11373, USA"
Ayada,Ayada,No,No,11373.0,(718) 424-0844,http://ayadanyc.com/,Eater,"7708 Woodside Ave, Queens, NY 11373, USA"
Ayat,Ayat,No,No,11209.0,(718) 831-2585,http://www.ayatnyc.com/,Eater,"8504 3rd Ave, Brooklyn, NY 11209, USA"
B&H Dairy,Dairy,No,No,10003.0,(212) 505-8065,https://www.facebook.com/BHDairyKosherRestaurant,Eater,"127 2nd Ave, New York, NY 10003, USA"
Balthazar,Balthazar,No,No,10012.0,(212) 965-1414,http://www.balthazarny.com/,Eater,"80 Spring St, New York, NY 10012, USA"
Bamonte's,Bamonte's,No,No,11211.0,(718) 384-8831,Not Available,Eater,"32 Withers St, Brooklyn, NY 11211, USA"
Bersi Ethiopian Restaurant,Bersi,No,No,11222.0,(347) 335-0920,https://bersinyc.com/,Eater,"1049 Manhattan Ave, Brooklyn, NY 11222, USA"
Birds of a Feather,Feather,No,No,11211.0,(718) 969-6800,http://birdsofafeatherny.com/,Eater,"191 Grand St, Brooklyn, NY 11211, USA"
Bonnie's,Bonnie's,No,No,11211.0,(914) 875-3709,https://www.bonniesbrooklyn.com/,Eater,"398 Manhattan Ave, Brooklyn, NY 11211, USA"
Bowery Meat Company,Bowery,No,No,10003.0,(212) 460-5255,http://www.bowerymeatcompany.com/,Eater,"9 E 1st St, New York, NY 10003, USA"
Brennan & Carr,Brennan,No,No,11229.0,(718) 769-1254,https://www.brennanandcarrbrooklyn.com/,Eater,"3432 Nostrand Ave, Brooklyn, NY 11229, USA"
Brooklyn Farmacy & Soda Fountain,Farmacy,No,No,11231.0,(718) 522-6260,http://brooklynfarmacyandsodafountain.com/,Eater,"513 Henry St, Brooklyn, NY 11231, USA"
C&B,C&B,No,No,10009.0,Not Available,http://www.candbnyc.com/,Eater,"178 E 7th St, New York, NY 10009, USA"
Cafe Boulud,Boulud,No,No,10065.0,(212)-772-2600,https://www.cafeboulud.com/nyc/,Eater,"100 E 63rd St, New York, NY 10065, USA"
Cafe Carmellini,Carmellini,No,No,10001.0,Not Available,Not Available,Eater,"250 5th Ave, New York, NY 10001, USA"
Cafe Chelsea,Cafe Chelsea,No,No,10011.0,(212) 483-1010,https://www.cafechelseanyc.com/,Eater,"218 W 23rd St, Manhattan, NY 10011, USA"
Cafe Panino Mucho Giusto,Panino,No,No,10014.0,(212) 229-2799,https://www.cafepaninonyc.com/,Eater,"551 Hudson St No 8, New York, NY 10014, USA"
Caffè Panna,Panna,No,No,10003.0,(917) 475-1162,https://www.caffepanna.com/,Eater,"77 Irving Pl, New York, NY 10003, USA"
Caleta,Caleta,No,No,10009.0,(646) 360-4072,http://caletanyc.com/,Eater,"New York, NY 10009, USA"
Carbone,Carbone,No,No,10012.0,Not Available,http://carbonenewyork.com/,Eater,"181 Thompson St, New York, NY 10012, USA"
Carnitas Ramirez,Ramirez,No,No,10009.0,Not Available,https://ny.eater.com/2024/6/26/24182669/carnitas-ramirez-taqueria-opens-east-village-manhattan,Eater,"210 E 3rd St, New York, NY 10009, USA"
Casa Carmen Tribeca,Tribeca,No,No,10013.0,Not Available,http://www.casacarmennyc.com,Eater,"114 Franklin St, New York, NY 10013, USA"
Chang Lai Fishballs Noodles,Fishballs,No,No,10013.0,(917) 378-3991,Not Available,Eater,"55 Bayard St Store B, New York, NY 10013, USA"
Charles Pan-Fried Chicken,Charles Pan-Fried Chicken,No,No,10039.0,(212) 281-1800,https://www.charlespanfriedchicken.com/,Eater,"340 W 145th St, New York, NY 10039, USA"
Chef Tan,Chef Tan,No,No,10003.0,(212) 253-5476,https://www.cheftannyc.com/,Eater,"37 St Marks Pl, New York, NY 10003, USA"
Churrascaria Plataforma,Plataforma,No,No,10019.0,(212) 245-0505,https://plataformaonline.com/,Eater,"316 W 49th St, New York, NY 10019, USA"
Ci Siamo,Siamo,No,No,10001.0,(212) 219-6559,https://www.cisiamonyc.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,Eater,"440 W 33rd St Suite #100, New York, NY 10001, USA"
Cloud Vietnamese,Cloud,No,No,10002.0,(646) 398-9911,http://www.cloudvietnamesenyc.com,Eater,"79 Clinton St, New York, NY 10002, USA"
Clubhouse Cafe,Clubhouse,No,No,10452.0,(718) 404-9281,https://clubhousecafebx.com/,Eater,"155 W 46th St, New York, NY 10036, USA"
Coffee Project,Coffee Project,No,No,10003.0,(212) 228-7888,https://coffeeprojectny.com/,Eater,"239 E 5th St, New York, NY 10003, USA"
Colonia Verde,Verde,No,No,11205.0,(347) 689-4287,https://www.coloniaverdenyc.com/,Eater,"219 Dekalb Ave, Brooklyn, NY 11205, USA"
Coqodaq,Coqodaq,No,No,10010.0,Not Available,https://www.coqodaq.com/,Eater,"12 E 22nd St, New York, NY 10010, USA"
Coral Omakase,Coral Omakase,No,No,10166.0,Not Available,https://www.coralomakase.com/,Eater,"MetLife Building, 200 Park Ave, New York, NY 10166, USA"
Cote Korean Steakhouse,Korean,No,No,10010.0,(212) 401-7986,http://www.cotenyc.com/,Eater,"16 W 22nd St, New York, NY 10010, USA"
Creme and Cocoa Creamery,Cocoa,No,No,11225.0,(718) 245-6286,http://www.cremeandcocoa.com/,Eater,"Brooklyn, NY 11225, USA"
Da Radda,Radda,No,No,10009.0,Not Available,http://daraddanyc.com/,Eater,"127 E 7th St, New York, NY 10009, USA"
Dawa’s,Dawa's,No,No,11377.0,(718) 899-8629,http://www.dawasnyc.com/,Eater,"51-18 Skillman Ave, Woodside, NY 11377, USA"
Dayglow,Dayglow,No,No,11237.0,(312) 576-8137,https://dayglow.coffee/,Eater,"New York, NY, USA"
Deluxe Green Bo,Deluxe Green Bo,No,No,10013.0,(212) 625-2359,https://deluxegreentogo.com/,Eater,"66 Bayard St, New York, NY 10013, USA"
Demo,Demo,No,No,10014.0,Not Available,Not Available,Eater,"New York, NY, USA"
Dept of Culture,Dept of Culture,No,No,11216.0,Not Available,https://www.deptofculturebk.com/,Eater,"327 Nostrand Ave, Brooklyn, NY 11216, USA"
Desi Stop,Stop,No,No,10003.0,Not Available,Not Available,Eater,"75 2nd Ave, New York, NY 10003, USA"
Devoción,Devoción,No,No,11249.0,(718) 285-6180,http://devocion.com,Eater,"69 Grand St, Brooklyn, NY 11249, USA"
Di Palo's Fine Foods,Palo's,No,No,10013.0,(212) 226-1033,Not Available,Eater,"200 Grand St, New York, NY 10013, USA"
Dim Sum Palace,Palace,No,No,10002.0,(212) 587-4277,http://www.dimsumpalace.com/,Eater,"Dim Sum Palace, New York, NY 10036, USA"
Double Crispy Bakery,Double,No,No,10013.0,(212) 966-6929,Not Available,Eater,"230 Grand St, New York, NY 10013, USA"
Downtown Burritos,Burritos,No,No,10003.0,(212) 254-1757,http://orderdowntownbakerycocinamexicana.com/,Eater,"69 1st Ave., New York, NY 10003, USA"
Dua Kafe,Kafe,No,No,10009.0,(212) 228-1696,http://duakafe.weeblysite.com/,Eater,"520 E 14th St, New York, NY 10009, USA"
Ear Inn,Ear Inn,No,No,10013.0,(212) 226-9060,http://theearinn.com/,Eater,"326 Spring St, New York, NY 10013, USA"
Eddie's Sweet Shop,Eddie's,No,No,11375.0,(718) 520-8514,https://m.facebook.com/EddiesSweetShop/,Eater,"105-29 Metropolitan Ave #1, Forest Hills, NY 11375, USA"
El Castillo de Jagua,Jagua,No,No,10002.0,(212) 982-6412,http://castillodejagua.com/,Eater,"679 Flatbush Ave, Brooklyn, NY 11225, USA"
El Jalapeño Truck,Jalapeño,No,No,10014.0,(347) 697-0081,Not Available,Eater,"72 Grove St, New York, NY 10014, USA"
El Rinconcito,Rinconcito,No,No,10009.0,(212) 254-1381,https://www.instagram.com/elrinconles?igshid=499iontauvpt,Eater,"75 Loisaida Ave, New York, NY 10009, USA"
Electric Burrito,Electric,No,No,10003.0,(646) 870-0104,https://www.electricburritonyc.com/,Eater,"81 St Marks Pl, New York, NY 10003, USA"
Emack and Bolio's Ice Cream,Emack,No,No,10024.0,(212) 362-2747,http://www.emackandbolios.com,Eater,"New York, NY, USA"
Emilio's Ballato,Ballato,No,No,10012.0,(212) 274-8881,Not Available,Eater,"55 E Houston St, New York, NY 10012, USA"
Emily's Pork Store,Pork,No,No,11211.0,(718) 383-7216,Not Available,Eater,"426 Graham Ave, Brooklyn, NY 11211, USA"
Fatta Mano,Fatta Mano,No,No,11209.0,(718) 925-2667,https://fattamanonyc.com/,Eater,"8501 3rd Ave, Brooklyn, NY 11209, USA"
Ferrara Bakery,Ferrara,No,No,10013.0,(212) 226-6150,http://ferraracafe.com/,Eater,"195 Grand St, New York, NY 10013, USA"
Fiaschetteria Pistoia,Pistoia,No,No,10009.0,(212) 777-3355,https://www.fiaschetteriapistoia.com/,Eater,"647 E 11th St, New York, NY 10009, USA"
Fini Pizza,Fini Pizza,No,No,11211.0,(929) 969-3073,https://www.finipizza.com,Eater,"305 Bedford Ave, Brooklyn, NY 11211, USA"
Frankies 457 Spuntino,457,No,No,11231.0,(718) 403-0033,http://www.frankiesspuntino.com/,Eater,"457 Court St, Brooklyn, NY 11231, USA"
Fresco by Scotto,Fresco,No,No,10022.0,Not Available,http://www.frescobyscotto.com/fresco-by-scotto/,Eater,"34 E 52nd St, New York, NY 10022, USA"
Fried Dumpling,Fried Dumpling,No,No,10013.0,(212) 693-1060,http://www.fried-dumpling.com/,Eater,"106 Mosco St, New York, NY 10013, USA"
Gallaghers Steakhouse,Gallaghers,No,No,10019.0,(212) 586-5000,http://gallaghersnysteakhouse.com/,Eater,"228 W 52nd St, New York, NY 10019, USA"
Golden Diner,Golden Diner,No,No,10002.0,(917) 472-7800,http://www.goldendinerny.com/,Eater,"123 Madison St, New York, NY 10002, USA"
Golden Steamer,Golden Steamer,No,No,10013.0,(212) 226-1886,Not Available,Eater,"143A Mott St, New York, NY 10013, USA"
Golden Unicorn,Unicorn,No,No,10002.0,(212) 941-0911,https://goldenunicornrestaurant.com/,Eater,"18 E Broadway, New York, NY 10002, USA"
Gottscheer Hall,Gottscheer Hall,No,No,11385.0,(718) 366-3030,http://www.gottscheerhall.com/,Eater,"657 Fairview Ave, Queens, NY 11385, USA"
Grand Central Oyster Bar,Grand Central Oyster Bar,No,No,10017.0,(212) 490-6650,http://www.oysterbarny.com,Eater,"89 E 42nd St, New York, NY 10017, USA"
Gray's Papaya,Gray's Papaya,No,No,10023.0,(212) 799-0243,http://grayspapaya.nyc/,Eater,"2090 Broadway, New York, NY 10023, USA"
Great N.Y. Noodletown,Noodletown,No,No,10013.0,(212) 349-0923,http://greatnewyorknoodletown.com/,Eater,"28 Bowery, New York, NY 10013, USA"
Green Garden Village,Green Garden Village,No,No,10013.0,(646) 912-9136,http://www.greengardenvillageny.com/,Eater,"216 Grand St, New York, NY 10013, USA"
Grotta Azzurra,Azzurra,No,No,10013.0,(212) 925-8775,http://bluegrotta.com/,Eater,"177 Mulberry St, New York, NY 10013, USA"
HAGS,HAGS,No,No,10003.0,Not Available,https://hagsnyc.com/,Eater,"163 1st Ave., New York, NY 10003, USA"
Hamburger America,America,No,No,10012.0,Not Available,https://hamburgeramerica.com/,Eater,"51 MacDougal St, New York, NY 10012, USA"
Harper’s Bread House,Harper’s Bread House,No,No,10002.0,Not Available,Not Available,Eater,"271 Grand St, New York, NY 10002, USA"
Hawksmoor,Hawksmoor,No,No,10010.0,(212) 777-1840,http://hawksmoornyc.com/,Eater,"109 E 22nd St, New York, NY 10010, USA"
House of Joy,Joy,No,No,10013.0,(212) 285-8688,https://houseofjoynyc.com/,Eater,"28 Pell St, New York, NY 10013, USA"
Huda,Huda,No,No,11211.0,Not Available,Not Available,Eater,"Brooklyn, NY 11211, USA"
Hwa Yuan Szechuan,Yuan,No,No,10002.0,(212) 966-6002,http://hwayuannyc.com/,Eater,"42 E Broadway, New York, NY 10002, USA"
Hyderabadi Zaiqa,Zaiqa,No,No,10019.0,646-952-0066,https://hyderabadizaiqa.com/,Eater,"366 W 52nd St, New York, NY 10019, USA"
Il Totano,Totano,No,No,10011.0,212-229-0222,https://www.iltotano.com/,Eater,"154 W 13th St, New York, NY 10011, USA"
Ilis,Ilis,No,No,11222.0,Not Available,https://www.ilisnyc.com/,Eater,"150 Green St, Brooklyn, NY 11222, USA"
Jerrell's Betr Brgr,Betr,No,No,10013.0,(347) 522-8049,http://www.jerrellsbetrbrgr.com/,Eater,"117 6th Ave, New York, NY 10013, USA"
JG Melon,Melon,No,No,10021.0,(212) 744-0585,http://jgmelon-nyc.com/,Eater,"1291 3rd Ave, New York, NY 10021, USA"
Joe Allen,Allen,No,No,10036.0,(212) 581-6464,http://www.joeallenrestaurant.com/,Eater,"326 W 46th St, New York, NY 10036, USA"
Joe's of Avenue U,Avenue U,No,No,11223.0,(718) 449-9285,https://www.instagram.com/joes_of_avenue_u/,Eater,"287 Avenue U, Brooklyn, NY 11223, USA"
Joe's Pizza,Joe's Pizza,No,No,10014.0,(212) 366-1182,http://www.joespizzanyc.com/,Eater,"1435 Broadway, New York, NY 10018, USA"
Joe's Shanghai,Shanghai,No,No,11354.0,(718) 539-3838,http://www.joeshanghairestaurants.com,Eater,"New York, NY, USA"
John's of Bleecker Street,Bleecker Street,No,No,10014.0,(212) 243-1680,http://johnsofbleecker.com/,Eater,"278 Bleecker St, New York, NY 10014, USA"
Jōji and Jōji Box,Jōji,No,No,10016.0,(917) 993-5056,http://jojiboxnyc.com/,Eater,"1 Vanderbilt Ave, New York, NY 10017, USA"
Jungsik,Jungsik,No,No,10013.0,(212) 219-0900,http://jungsik.com,Eater,"2 Harrison St, New York, NY 10013, USA"
Kanoyama,Kanoyama,No,No,10003.0,(212) 777-5266,http://www.kanoyama.com,Eater,"175 2nd Ave, New York, NY 10003, USA"
Katz's Deli,Katz's Deli,No,No,10002.0,(800) 446-8364,http://katzsdelicatessen.com,Eater,"205 E Houston St, New York, NY 10002, USA"
Keens Steakhouse,Keens,No,No,10018.0,(212) 947-3636,http://www.keens.com,Eater,"72 W 36th St., New York, NY 10018, USA"
Kernel,Kernel,No,No,10010.0,Not Available,https://www.eatkernel.com/,Eater,"315 Park Ave S, New York, NY 10010, USA"
Kiki's,Kiki's,No,No,10002.0,(646) 882-7052,http://kikis.order.online/,Eater,"130 Division St, New York, NY 10002, USA"
King Dumplings,King Dumplings,No,No,10002.0,(917) 251-1249,https://www.instagram.com/kingdumplings74/,Eater,"74 Hester St, New York, NY 10002, USA"
King’s Kitchen,King's,No,No,10002.0,(212) 966-7288,Not Available,Eater,"5223 8th Ave, Brooklyn, NY 11220, USA"
Kisa,Kisa,No,No,10002.0,Not Available,https://www.kisaus.com/,Eater,"205 Allen St, New York, NY 10002, USA"
Kopitiam,Kopitiam,No,No,10002.0,(646) 609-3785,https://www.kopitiamnyc.com/,Eater,"New York, NY, USA"
L'Industrie Pizzeria,L'Industrie,No,No,11211.0,(718) 599-0002,http://www.lindustriebk.com/,Eater,"254 S 2nd St, Brooklyn, NY 11211, USA"
La Cabra,Cabra,No,No,10003.0,Not Available,https://www.lacabra.dk/,Eater,"152 2nd Ave, New York, NY 10003, USA"
Larry's Ca Phe,Ca Phe,No,No,11211.0,Not Available,https://www.larryscaphe.com/,Eater,"135 Woodpoint Rd, Brooklyn, NY 11211, USA"
Le B.,B.,No,No,10014.0,Not Available,https://lebnyc.com/,Eater,"283 W 12th St, New York, NY 10014, USA"
Le Bernardin,Bernardin,No,No,10019.0,(212) 554-1515,https://www.le-bernardin.com/home,Eater,"155 W 51st St, New York, NY 10019, USA"
Le Bernardin,Bernardin,No,No,10019.0,(212) 554-1515,http://www.le-bernardin.com/,Eater,"155 W 51st St, New York, NY 10019, USA"
Le Crocodile,Crocodile,No,No,11249.0,(718) 460-8004,http://lecrocodile.com/,Eater,"80 Wythe Ave, Brooklyn, NY 11249, USA"
Le Dive,Dive,No,No,10002.0,(646) 370-6222,http://www.ledivenyc.com/,Eater,"37 Canal St, New York, NY 10002, USA"
Le Marais,Marais,No,No,10036.0,(212) 869-0900,http://lemarais.net/,Eater,"150 W 46th St, New York, NY 10036, USA"
Lê Phin,Phin,No,No,10009.0,(415) 412-7066,Not Available,Eater,"259 E 10th St, New York, NY 10009, USA"
Liebman’s Deli,Liebman's,No,No,10463.0,(718) 548-4534,http://liebmansdeli.com/,Eater,"552 W 235th St, Bronx, NY 10463, USA"
Little Myanmar,Myanmar,No,No,10009.0,Not Available,Not Available,Eater,"150 E 2nd St, New York, NY 10009, USA"
Lola's,Lola's,No,No,10001.0,Not Available,https://www.lolasnyc.com/,Eater,"2 W 28th St, New York, NY 10001, USA"
Lombardi's,Lombardi's,No,No,10012.0,(212) 941-7994,http://www.firstpizza.com/,Eater,"32 Spring St, New York, NY 10012, USA"
Lure Fishbar,Lure,No,No,10012.0,(212) 431-7676,http://www.lurefishbar.com/,Eater,"142 Mercer St, New York, NY 10012, USA"
M Star Cafe,M Star Cafe,No,No,10002.0,(212) 966-8988,Not Available,Eater,"19 Division St #1, New York, NY 10002, USA"
Macosa Trattoria,Macosa,No,No,11216.0,(646) 574-7866,https://www.macosanyc.com/,Eater,"310 Tompkins Ave, Brooklyn, NY 11216, USA"
Madonia Bakery,Madonia Bakery,No,No,10458.0,(718) 295-5573,http://www.madoniabakery.net/,Eater,"2348 Arthur Ave, Bronx, NY 10458, USA"
Magnolia Bakery,Magnolia Bakery,No,No,10014.0,(212) 462-2572,http://www.magnoliabakery.com/,Eater,"New York, NY, USA"
Malai Ice Cream,Malai,No,No,11231.0,(347) 889-5789,https://www.malai.co/,Eater,"New York, NY, USA"
Mắm,Mắm,No,No,10002.0,Not Available,https://www.hotplate.com/mamnyc,Eater,"New York, NY, USA"
Mamoun's,Mamoun's,No,No,10012.0,(212) 674-8685,http://www.mamouns.com,Eater,"New York, NY, USA"
Manero's of Mulberry,Mulberry,No,No,10013.0,(212) 961-6183,http://maneros.pizza/,Eater,"113 Mulberry St, New York, NY 10013, USA"
Mario’s Restaurant,Mario's,No,No,10458.0,(718) 584-1188,http://www.mariosarthurave.com/,Eater,"2342 Arthur Ave, Bronx, NY 10458, USA"
Mariscos El Submarino,Submarino,No,No,11372.0,(718) 685-2780,https://www.mariscoselsubmarino.com/,Eater,"8805 Roosevelt Ave, Queens, NY 11372, USA"
Mark's Off Madison,Mark's Off Madison,No,No,10010.0,(646) 838-8300,https://www.marksoffmadison.com/,Eater,"41 Madison Ave Ground Level, New York, NY 10010, USA"
Massara,Massara,No,No,10010.0,Not Available,Not Available,Eater,"913 Broadway, New York, NY 10010, USA"
Max & Mina's Ice Cream,Mina's,No,No,11367.0,(718) 793-8629,https://max-minas-ice-cream.business.site/,Eater,"71-26 Main St, Flushing, NY 11367, USA"
McSorley’s Old Ale House,McSorley's,No,No,10003.0,Not Available,http://mcsorleysoldalehouse.nyc/,Eater,"15 E 7th St, New York, NY 10003, USA"
Mee Sum Cafe,Mee,No,No,10013.0,Not Available,Not Available,Eater,"26 Pell St, New York, NY 10013, USA"
Mei Lai Wah Wonton Noodle,Wonton,No,No,10038.0,(212) 966-4033,http://www.wontonnoodlegarden.com/,Eater,"23 Pell St, New York, NY 10038, USA"
Meju,Meju,No,No,11101.0,Not Available,https://www.exploretock.com/mejunyc,Eater,"5-28 49th Ave, Queens, NY 11101, USA"
Melba's,Melba's,No,No,10026.0,(212) 864-7777,http://www.melbasrestaurant.com/,Eater,"300 W 114th St, New York, NY 10026, USA"
Misi,Misi,No,No,11249.0,(347) 566-3262,http://www.misinewyork.com/,Eater,"329 Kent Ave, Brooklyn, NY 11249, USA"
Misipasta,Misipasta,No,No,10013.0,(347) 844-6474,https://www.misipasta.com,Eater,"46 Grand St, Brooklyn, NY 11249, USA"
Momoya SoHo,Momoya,No,No,10012.0,(646) 429-9315,https://momoyanyc.com/soho.html,Eater,"47 Prince St, New York, NY 10012, USA"
Monterey,Monterey,No,No,10022.0,(212) 377-7171,https://montereybrasserie.com/,Eater,"New York, NY, USA"
Morandi,Morandi,No,No,10014.0,(212) 627-7575,http://www.morandiny.com/,Eater,"211 Waverly Pl, New York, NY 10014, USA"
Morgenstern’s Finest Ice Cream,Morgenstern's,No,No,10012.0,(212) 209-7684,http://www.morgensternsnyc.com/,Eater,"88 W Houston St, New York, NY 10012, USA"
Moustache Pitza,Moustache,No,No,10014.0,(212) 229-2220,http://moustachepitza.com/,Eater,"29 7th Ave S, New York, NY 10014, USA"
Nakaji,Nakaji,No,No,10013.0,(646) 478-8282,http://www.nakajinyc.com/,Eater,"48 Bowery, New York, NY 10013, USA"
Nathan's Famous,Nathan's,No,No,11224.0,(718) 946-2202,http://www.nathansfamous.com,Eater,"New York, NY, USA"
Nepali Bhanchha Ghar,Bhanchha,No,No,11372.0,917-745-0533,Not Available,Eater,"74-15 Roosevelt Ave, Jackson Heights, NY 11372, USA"
Noz 17,Noz 17,No,No,10011.0,Not Available,http://noz17.com/,Eater,"458 W 17th St, New York, NY 10011, USA"
Nyonya,Nyonya,No,No,10013.0,(212) 334-3669,http://www.ilovenyonya.com/,Eater,"199 Grand St, New York, NY 10013, USA"
Oddfellows,Oddfellows,No,No,11201.0,(718) 683-5755,https://www.oddfellowsnyc.com/,Eater,"New York, NY, USA"
